int_code;char_code;description
36;AUD;Австралійський долар                    
944;AZN;Азербайджанський манат                  
933;BYN;Білоруський рубль                       
975;BGN;Болгарський лев                         
410;KRW;Вона                                    
344;HKD;Гонконгівський долар                    
208;DKK;Данська крона                           
840;USD;Долар США                               
978;EUR;Євро                                    
818;EGP;Єгипетський фунт                        
392;JPY;Єна                                     
985;PLN;Злотий                                  
356;INR;Індійська рупія                         
124;CAD;Канадський долар                        
191;HRK;Куна                                    
484;MXN;Мексиканське песо                       
498;MDL;Молдовський лей                         
376;ILS;Новий ізраїльський шекель               
554;NZD;Новозеландський долар                   
578;NOK;Норвезька крона                         
710;ZAR;Ренд                                    
643;RUB;Російський рубль                        
946;RON;Румунський лей                          
360;IDR;Рупія                                   
702;SGD;Сінгапурський долар                     
960;XDR;СПЗ (спеціальні права запозичення)      
398;KZT;Теньге                                  
949;TRY;Турецька ліра                           
348;HUF;Форинт                                  
826;GBP;Фунт стерлінгів                         
203;CZK;Чеська крона                            
752;SEK;Шведська крона                          
756;CHF;Швейцарський франк                      
156;CNY;Юань Женьміньбі                      
981;GEL;Грузинський Ларі
934;TMT;Туркменський Новий Манат
980;UAH;Гривня
860;UZS;Узбекський Сум
959;XAU;Золото
